round,fnr,fpr,entropy,transition_count,learning_rate
47,0.09197156801202908,0.04118975843030518,0,9,0.02
48,0.050963379961550884,0.056239577665672516,0,9,0.02
49,0.0327384564150043,0.08311611927786527,0,9,0.02
50,0.13205780452365323,0.03244368496363612,0,9,0.02
51,0.1345299414097423,0.07140987413365747,0,9,0.02
52,0.08319985952907544,0.04271228079982336,0,9,0.02
53,0.07697791134252772,0.09669449725132623,0,9,0.02
54,0.14969951141666918,0.04245308246844525,0,9,0.02
55,0.10391123441890159,0.07285381416542927,0,9,0.02
56,0.09545173400752666,0.05460871649606196,0,9,0.02
57,0.015434446125098575,0.058858364606067,0,9,0.02
58,0.0738283510108542,0.08113196829171754,0,9,0.02
59,0.09854112566612554,0.06879260508833981,0,9,0.02
60,0.09818414056188471,0.034532948978432114,0,9,0.02
61,0.0372923711059566,0.055850834208466295,0,9,0.02
62,0.06776672945490235,0.07582242943461183,0,9,0.02
63,0.09024735706804839,0.06027321180895644,0,9,0.02
64,0.12240882643068801,0.052590862405667814,0,9,0.02
65,0.051423143885487445,0.06381942909106719,0,9,0.02
66,0.11247220744921085,0.07824687750791001,0,9,0.02
67,0.07158836463074851,0.04611332656675072,0,9,0.02
68,0.1092224929391489,0.022694407578817313,0,9,0.02
69,0.10965484437223492,0.08064703978123296,0,9,0.02
70,0.05474856659801457,0.07115379167177566,0,9,0.02
71,0.09699740610503248,0.03433174916931871,0,9,0.02
72,0.09408026000719345,0.07164416644514518,0,9,0.02
73,0.11822347355605192,0.044216562723662395,0,9,0.02
74,0.09957394142120712,0.03045010741130299,0,9,0.02
75,0.12110852727377815,0.039918222621550745,0,9,0.02
76,0.1357127165895163,0.045885689714776946,0,9,0.02
77,0.046519314524153886,0.05636607401572183,0,9,0.02
78,0.12474698212295951,0.06896101091114507,0,9,0.02
79,0.0777730324840648,0.014748167653243126,0,9,0.02
80,0.10853427617115516,0.08006460437416066,0,9,0.02
81,0.13455809811632613,0.059647399635397114,0,9,0.02
82,0.02915953319231432,0.08692723305866551,0,9,0.02
83,0.12004817346418353,0.06589180234211016,0,9,0.02
84,0.1404598384562108,0.02117191743831211,0,9,0.02
85,0.05125549142424773,0.07293581704042863,0,9,0.02
86,0.12658551238753402,0.04235027718848748,0,9,0.02
87,0.09209325602761258,0.07154657765128901,0,9,0.02
88,0.12593735853982127,0.04851913687259756,0,9,0.02
89,0.13746716062232445,0.034607296291312546,0,9,0.02
90,0.14359449120329487,0.04999715921964481,0,9,0.02
91,0.08948120504134023,0.03827649750834186,0,9,0.02
92,0.07988358841737013,0.07453041195055528,0,9,0.02
93,0.019174958210622907,0.07246422295955134,0,9,0.02
94,0.1043461406810971,0.06640088831306883,0,9,0.02
95,0.0879638796016456,0.06437683910572393,0,9,0.02
96,0.10012237322721351,0.054559550491016906,0,9,0.02
97,0.09674972994261198,0.052273938448307106,0,9,0.02
98,0.14788375090205458,0.05593736126552295,0,9,0.02
99,0.09052349802746876,0.057417836162768986,0,9,0.02
100,0.07178359800952215,0.049760390777684974,0,9,0.02
